DTXSID,CAS,Compound,has_SEEM,SEEM_mg_kg_day,AED_median,BER,concern,in_aed_ber,has_BER
DTXSID8024234,27314-13-2,Norflurazon,True,,1.639,,no_exposure_data,True,False
DTXSID8024238,19044-88-3,Oryzalin,True,,0.18595,,no_exposure_data,True,False
DTXSID3024239,19666-30-9,Oxadiazon,True,,0.001277,,no_exposure_data,True,False
DTXSID6021086,23135-22-0,Oxamyl,True,,0.42615,,no_exposure_data,True,False
DTXSID4034364,144651-06-9,Oxasulfuron,True,,0.3251,,no_exposure_data,True,False
DTXSID7024241,42874-03-3,Oxyfluorfen,True,,0.00291,,no_exposure_data,True,False
DTXSID4023412,6153-64-6,Oxytetracycline dihydrate,True,,0.6044,,no_exposure_data,True,False
DTXSID2024242,76738-62-0,Paclobutrazol,True,,0.4633,,no_exposure_data,True,False
DTXSID7021100,56-38-2,Parathion,True,,0.19975,,no_exposure_data,True,False
DTXSID7024245,40487-42-1,Pendimethalin,True,,0.064955,,no_exposure_data,True,False
DTXSID0034803,219714-96-2,Penoxsulam,True,,0.01739,,no_exposure_data,True,False
DTXSID8022292,52645-53-1,Permethrin,True,,0.624,,no_exposure_data,True,False
DTXSID9021976,122-99-6,Phenoxyethanol,True,,0.12035,,no_exposure_data,True,False
DTXSID1024259,2310-17-0,Phosalone,True,,0.39795,,no_exposure_data,True,False
DTXSID1021160,1918-02-1,Picloram,True,,0.18215,,no_exposure_data,True,False
DTXSID1021166,51-03-6,Piperonyl butoxide,True,,0.83995,,no_exposure_data,True,False
DTXSID1032569,23103-98-2,Pirimicarb,True,,2.5115,,no_exposure_data,True,False
DTXSID0024266,29232-93-7,Pirimiphos-methyl,True,,1.108,,no_exposure_data,True,False
DTXSID4024270,67747-09-5,Prochloraz,True,,0.26455,,no_exposure_data,True,False
DTXSID1034210,29091-21-2,Prodiamine,True,,0.074015,,no_exposure_data,True,False
DTXSID6022341,1610-18-0,Prometon,True,,0.1966,,no_exposure_data,True,False
DTXSID4024272,7287-19-6,Prometryn,True,,0.1498,,no_exposure_data,True,False
DTXSID6034849,25606-41-1,Propamocarb hydrochloride,True,,5.1425,,no_exposure_data,True,False
DTXSID8022111,709-98-8,Propanil,True,,0.4421,,no_exposure_data,True,False
DTXSID3021196,139-40-2,Propazine,True,,0.30665,,no_exposure_data,True,False
DTXSID7032470,31218-83-4,Propetamphos,True,,0.2208,,no_exposure_data,True,False
DTXSID7021948,114-26-1,Propoxur,True,,0.9833,,no_exposure_data,True,False
DTXSID2020420,23950-58-5,Propyzamide,True,,0.27335,,no_exposure_data,True,False
DTXSID9034868,94125-34-5,Prosulfuron,True,,0.079935,,no_exposure_data,True,False
DTXSID2032637,123312-89-0,Pymetrozine,True,,5.165,,no_exposure_data,True,False
DTXSID7032638,175013-18-0,Pyraclostrobin,True,,0.22935,,no_exposure_data,True,False
DTXSID5032573,96489-71-3,Pyridaben,True,,0.65835,,no_exposure_data,True,False
DTXSID8034877,53112-28-0,Pyrimethanil,True,,0.40995,,no_exposure_data,True,False
DTXSID1032640,95737-68-1,Pyriproxyfen,True,,0.0439,,no_exposure_data,True,False
DTXSID8032673,123343-16-8,Pyrithiobac-sodium,True,,0.036995,,no_exposure_data,True,False
DTXSID6032641,84087-01-4,Quinclorac,True,,0.01487,,no_exposure_data,True,False
DTXSID2034881,124495-18-7,Quinoxyfen,True,,0.0015575,,no_exposure_data,True,False
DTXSID7022253,10453-86-8,Resmethrin,True,,0.00014425,,no_exposure_data,True,False
DTXSID1032642,122931-48-0,Rimsulfuron,True,,0.7519,,no_exposure_data,True,False
DTXSID6021248,83-79-4,Rotenone,True,,0.28285,,no_exposure_data,True,False
DTXSID2039336,28434-00-6,s-bioallethrin,True,,0.06607,,no_exposure_data,True,False
DTXSID9024304,74051-80-2,Sethoxydim,True,,0.28545,,no_exposure_data,True,False
DTXSID4021268,122-34-9,Simazine,True,,0.9569,,no_exposure_data,True,False
DTXSID1034212,118134-30-8,Spiroxamine,True,,0.05669,,no_exposure_data,True,False
DTXSID6032645,122836-35-5,Sulfentrazone,True,,5.6835,,no_exposure_data,True,False
DTXSID4034948,112410-23-8,Tebufenozide,True,,0.5305,,no_exposure_data,True,False
DTXSID0034223,119168-77-3,Tebufenpyrad,True,,0.1642,,no_exposure_data,True,False
DTXSID1032482,96182-53-5,Tebupirimfos,True,,0.1793,,no_exposure_data,True,False
DTXSID3024316,34014-18-1,Tebuthiuron,True,,1.5845,,no_exposure_data,True,False
DTXSID5032577,79538-32-2,Tefluthrin,True,,0.2185,,no_exposure_data,True,False
DTXSID7034252,149979-41-9,Tepraloxydim,True,,0.17785,,no_exposure_data,True,False
DTXSID8024317,5902-51-2,Terbacil,True,,0.24815,,no_exposure_data,True,False
DTXSID6032649,7696-12-0,Tetramethrin,True,,0.39765,,no_exposure_data,True,False
DTXSID0021337,148-79-8,Thiabendazole,True,,0.03524,,no_exposure_data,True,False
DTXSID7034961,111988-49-9,Thiacloprid,True,,0.6981,,no_exposure_data,True,False
DTXSID2034962,153719-23-4,Thiamethoxam,True,,0.4069,,no_exposure_data,True,False
DTXSID1032488,117718-60-2,Thiazopyr,True,,0.81735,,no_exposure_data,True,False
DTXSID0032651,51707-55-2,Thidiazuron,True,,0.009574,,no_exposure_data,True,False
DTXSID6024337,28249-77-6,Thiobencarb,True,,0.08921,,no_exposure_data,True,False
DTXSID1024338,23564-05-8,Thiophanate-methyl,True,,1.3635,,no_exposure_data,True,False
DTXSID3023897,43121-43-3,Triadimefon,True,,1.561,,no_exposure_data,True,False
DTXSID0032493,55219-65-3,Triadimenol,True,,0.059455,,no_exposure_data,True,False
DTXSID0024345,82097-50-5,Triasulfuron,True,,0.53375,,no_exposure_data,True,False
DTXSID1024174,78-48-8,Tribufos,True,,1.275,,no_exposure_data,True,False
DTXSID0032497,55335-06-3,Triclopyr,True,,0.01424,,no_exposure_data,True,False
DTXSID5023742,81-81-2,Warfarin,True,,0.008207,,no_exposure_data,True,False
DTXSID8040222,199119-58-9,Trifloxysulfuron-sodium,True,,0.003207,,no_exposure_data,True,False
DTXSID7041097,85532-75-8,Pk 11195,True,,0.6266,,no_exposure_data,True,False
DTXSID2032502,126535-15-7,Triflusulfuron-methyl,True,,11.745,,no_exposure_data,True,False
DTXSID0032655,131983-72-7,Triticonazole,True,,0.35975,,no_exposure_data,True,False
DTXSID4022361,50471-44-8,Vinclozolin,True,,2.6955,,no_exposure_data,True,False
DTXSID9032581,156052-68-5,Zoxamide,True,,0.0064205,,no_exposure_data,True,False
DTXSID7025895,101-54-2,"""n-phenyl-1,4-benzenediamine""",True,,1.4425,,no_exposure_data,True,False
DTXSID5020869,101-61-1,"""4,4'-methylenebis(n,n-dimethylaniline)""",True,,0.03455,,no_exposure_data,True,False
DTXSID0021094,101-80-4,"""4,4'-oxydianiline""",True,,0.19465,,no_exposure_data,True,False
DTXSID4026684,101-86-0,2-benzylideneoctanal,True,,0.13215,,no_exposure_data,True,False
DTXSID3025178,102-06-7,"""1,3-diphenylguanidine""",True,,0.2701,,no_exposure_data,True,False
DTXSID4021848,102-27-2,N-ethyl-3-methylaniline,True,,0.93765,,no_exposure_data,True,False
DTXSID1024126,1024-57-3,"""heptachlor epoxide, isomer b""",True,,0.0009091,,no_exposure_data,True,False
DTXSID0020606,103-23-1,Di(2-ethylhexyl)adipate,True,,0.1567,,no_exposure_data,True,False
DTXSID3026697,103-24-2,Azelaic acid di(2-ethylhexyl) ester,True,,0.03871,,no_exposure_data,True,False
DTXSID2020006,103-90-2,Acetaminophen,True,,0.39345,,no_exposure_data,True,False
DTXSID4034287,104-67-6,5-heptyldihydro-2(3h)-furanone,True,,0.3898,,no_exposure_data,True,False
DTXSID1034187,10540-29-1,Tamoxifen,True,,0.0010695,,no_exposure_data,True,False
DTXSID2021866,105-99-7,Dibutyl hexanedioate,True,,0.5698,,no_exposure_data,True,False
DTXSID4024729,10605-21-7,Methyl 1h-benzimidazol-2-ylcarbamate,True,,6.317,,no_exposure_data,True,False
DTXSID7021869,106-44-5,4-methylphenol,True,,6.248,,no_exposure_data,True,False
DTXSID5025152,106-65-0,Dimethyl succinate,True,,1895.5,,no_exposure_data,True,False
DTXSID9032113,107534-96-3,Tebuconazole,True,,0.16575,,no_exposure_data,True,False
DTXSID2021238,108-46-3,Resorcinol,True,,6.1655,,no_exposure_data,True,False
DTXSID5021124,108-95-2,Phenol,True,,1.396,,no_exposure_data,True,False
DTXSID4042121,110235-47-7,Mepanipyrim,True,,0.00816,,no_exposure_data,True,False
DTXSID8025595,110-26-9,"""n,n'-methylenebis(acrylamide)""",True,,0.3588,,no_exposure_data,True,False
DTXSID3026223,111-21-7,Triethylene glycol diacetate,True,,1080.5,,no_exposure_data,True,False
DTXSID3025122,1119-40-0,Dimethyl glutarate,True,,34.83,,no_exposure_data,True,False
DTXSID3024368,112-50-5,2-[2-(2-ethoxyethoxy)ethoxy]ethanol,True,,0.28295,,no_exposure_data,True,False
DTXSID4022991,114-07-8,Erythromycin,True,,0.6566,,no_exposure_data,True,False
DTXSID1021952,115-86-6,Triphenyl phosphate,True,,0.1725,,no_exposure_data,True,False
DTXSID1021956,117-84-0,Di-n-octyl phthalate,True,,0.00016825,,no_exposure_data,True,False
DTXSID0021961,119-61-9,Benzophenone,True,,0.37945,,no_exposure_data,True,False
DTXSID3025091,119-90-4,"3,3'-dimethoxybenzidine",True,,0.1397,,no_exposure_data,True,False
DTXSID5024059,119-93-7,O-tolidine,True,,0.042925,,no_exposure_data,True,False
DTXSID5020108,50-78-2,Aspirin,True,,3.028,,no_exposure_data,True,False
DTXSID1020350,120-71-8,P-cresidine,True,,3.2155,,no_exposure_data,True,False
DTXSID7040788,121-00-6,2-tert-butyl-4-methoxy-phenol,True,,0.2881,,no_exposure_data,True,False
DTXSID6021117,60-80-0,Antipyrine,True,,0.50725,,no_exposure_data,True,False
DTXSID6047286,123122-55-4,Candoxatril,True,,6.081,,no_exposure_data,True,False
DTXSID1040742,124-94-7,Triamcinolone,True,,9.2255,,no_exposure_data,True,False
DTXSID5021336,58-55-9,Theophylline,True,,0.4437,,no_exposure_data,True,False
DTXSID9047257,127308-82-1,Zamifenacin,True,,0.96575,,no_exposure_data,True,False
DTXSID6027052,128-39-2,"""2,6-di-tert-butylphenol""",True,,0.0009479,,no_exposure_data,True,False
DTXSID3024289,129-00-0,Pyrene,True,,0.056385,,no_exposure_data,True,False
DTXSID7020392,131-17-9,Diallyl phthalate,True,,0.057985,,no_exposure_data,True,False
DTXSID6021244,13292-46-1,Rifampicin,True,,0.12305,,no_exposure_data,True,False
DTXSID7032004,13311-84-7,Flutamide,True,,0.69855,,no_exposure_data,True,False
DTXSID5020576,57-63-6,Ethinylestradiol,True,,0.00693,,no_exposure_data,True,False
DTXSID6047363,139290-65-6,Volinanserin,True,,5.3925,,no_exposure_data,True,False
DTXSID9022360,140-66-9,"""4-(1,1,3,3-tetramethylbutyl)phenol""",True,,0.2606,,no_exposure_data,True,False
DTXSID5024051,1445-75-6,Diisopropyl methylphosphonate (dimp),True,,0.2493,,no_exposure_data,True,False
DTXSID9047251,145742-28-5,"""(2s,3s)-n-[2-methoxy-5-(trifluoromethoxy)benzyl]-2-phenylpiperidin-3-amine""",True,,0.040785,,no_exposure_data,True,False
DTXSID4020537,147-24-0,Diphenhydramine hydrochloride,True,,0.36865,,no_exposure_data,True,False
DTXSID5020730,148-24-3,8-hydroxyquinoline,True,,3.0415,,no_exposure_data,True,False
DTXSID0020311,150-68-5,Monuron,True,,0.7812,,no_exposure_data,True,False
DTXSID7041623,15310-01-7,Benodanil,True,,1.2265,,no_exposure_data,True,False
DTXSID9020249,1563-66-2,Carbofuran,True,,0.2147,,no_exposure_data,True,False
DTXSID9022312,1806-26-4,4-octylphenol,True,,0.1027,,no_exposure_data,True,False
