Chemical,MAE_ngmL,RMSE_ngmL,R2,Evaluation
4-methylphenol,1.1606,1.9059,-0.0108,train_reconstruction
Dimethyl succinate,1.7817,3.3604,-0.3713,train_reconstruction
Tebuconazole,0.8557,0.9297,-0.4529,train_reconstruction
Resorcinol,1.1015,2.6549,-0.0095,train_reconstruction
Phenol,1.172,2.2376,-0.0089,train_reconstruction
Mepanipyrim,44.3131,45.0305,-16.1637,train_reconstruction
"""n,n'-methylenebis(acrylamide)""",15.4806,49.9661,-0.0206,train_reconstruction
Triethylene glycol diacetate,1.5378,3.164,-0.2949,train_reconstruction
Dimethyl glutarate,0.9354,2.7633,-0.0176,train_reconstruction
2-[2-(2-ethoxyethoxy)ethoxy]ethanol,19.6892,47.2292,-0.0092,train_reconstruction
Erythromycin,15.5426,17.795,-0.0275,train_reconstruction
Triphenyl phosphate,0.6554,0.7436,-0.1644,train_reconstruction
Di-n-octyl phthalate,0.445,0.542,0.6443,train_reconstruction
Benzophenone,1.1521,1.2514,-0.3464,train_reconstruction
"3,3'-dimethoxybenzidine",38.1593,56.135,-0.0333,train_reconstruction
O-tolidine,42.6921,58.6846,-0.5404,train_reconstruction
Aspirin,30.5252,55.7623,-0.0182,train_reconstruction
P-cresidine,1.2575,2.055,-0.0176,train_reconstruction
2-tert-butyl-4-methoxy-phenol,1.1398,1.2376,-0.3466,train_reconstruction
Antipyrine,1.3524,2.9532,-0.0161,train_reconstruction
Candoxatril,0.7267,0.7953,-0.36,train_reconstruction
Triamcinolone,1.4175,2.4643,-0.0276,train_reconstruction
Theophylline,1.07,3.0701,-0.0098,train_reconstruction
Zamifenacin,0.2267,0.2682,0.0862,train_reconstruction
"""2,6-di-tert-butylphenol""",6.6375,6.7278,-6.6175,train_reconstruction
Pyrene,0.2315,0.2645,-0.0167,train_reconstruction
Diallyl phthalate,9.006,12.2034,-0.095,train_reconstruction
Rifampicin,11.264,14.015,-0.0136,train_reconstruction
Flutamide,0.9947,1.0908,-0.2575,train_reconstruction
Ethinylestradiol,30.5005,30.8402,-15.4287,train_reconstruction
Volinanserin,0.957,1.1493,-0.0527,train_reconstruction
"""4-(1,1,3,3-tetramethylbutyl)phenol""",0.209,0.2404,0.0372,train_reconstruction
Diisopropyl methylphosphonate (dimp),20.1127,36.8206,-0.0081,train_reconstruction
"""(2s,3s)-n-[2-methoxy-5-(trifluoromethoxy)benzyl]-2-phenylpiperidin-3-amine""",14.0784,14.5273,-6.6416,train_reconstruction
Diphenhydramine hydrochloride,46.6481,89.8511,-0.0083,train_reconstruction
8-hydroxyquinoline,1.1878,1.8551,-0.0152,train_reconstruction
Monuron,1.3027,1.9313,-0.0318,train_reconstruction
Benodanil,1.3454,1.4763,-0.3294,train_reconstruction
Carbofuran,29.9744,45.1543,-0.0441,train_reconstruction
4-octylphenol,0.259,0.2997,0.1052,train_reconstruction
2-hydroxy-4-(octyloxy)benzophenone,0.0746,0.089,0.2936,train_reconstruction
Chlorthal-dimethyl,0.461,0.5146,-0.2003,train_reconstruction
Vernolate,0.6805,0.7531,-0.1823,train_reconstruction
Oxytetracycline hydrochloride,41.7919,76.2517,-0.0343,train_reconstruction
Benzo[b]fluoranthene,0.1345,0.155,0.2839,train_reconstruction
Fluoranthene,0.1977,0.2275,0.0747,train_reconstruction
O-ethyl o-(p-nitrophenyl) phenylphosphonothioate,0.4999,0.574,-0.2752,train_reconstruction
"""1,5-diaminonaphthalene""",26.3779,54.8359,-0.0186,train_reconstruction
Tridemorph,0.2672,0.3085,0.2271,train_reconstruction
Benzyl hydrogen phthalate,61.2682,62.6253,-14.3991,train_reconstruction
"""1,2-benzisothiazolin-3-one""",2.6856,3.2606,-0.4163,train_reconstruction
Chlorpyrifos,1.0099,1.1685,-0.052,train_reconstruction
Phorate,30.4845,30.8171,-16.0095,train_reconstruction
Carbamazepine,1.153,1.5732,-0.0291,train_reconstruction
Azidothymidine,1.2764,3.0147,-0.0133,train_reconstruction
Octrizole,0.8287,0.9153,-0.4927,train_reconstruction
Butam,1.0926,1.2602,-0.1283,train_reconstruction
3-phenoxybenzoic acid,24.8975,25.1743,-14.9859,train_reconstruction
2-chloro-2'-deoxyadenosine,21.3299,48.0397,-0.0098,train_reconstruction
Genistein,1.3423,1.4506,-0.4161,train_reconstruction
9-phenanthrol,0.9136,1.0137,-0.1739,train_reconstruction
"""p,p'-ddt""",0.1541,0.2797,0.8752,train_reconstruction
Reserpine,79.3059,80.254,-13.5571,train_reconstruction
Pirinixic acid,8.1565,8.8447,-0.5547,train_reconstruction
"""2,4-dinitrophenol""",175.2207,188.5641,-5.7266,train_reconstruction
6-propyl-2-thiouracil,1.1316,3.1123,-0.0094,train_reconstruction
"""n-[(3r)-1-azabicyclo[2.2.2]oct-3-yl]-2,3-dihydro-1,4-benzodioxine-6-carboxamide""",1.4502,2.0341,-0.0654,train_reconstruction
"""1,2-dinitrobenzene""",2.0012,2.3736,-0.3086,train_reconstruction
Haloperidol,0.4591,0.5124,-0.2131,train_reconstruction
Prednisone,1.3957,2.259,-0.0316,train_reconstruction
"""2-methyl-4,6-dinitrophenol""",188.0655,189.6534,-34.1675,train_reconstruction
Hexamethyl-p-rosaniline chloride,4.7536,5.2164,-0.8915,train_reconstruction
Carbosulfan,0.303,0.3479,-0.2571,train_reconstruction
Ethion,2.8706,2.9616,-1.463,train_reconstruction
Diethylstilbestrol (des),0.1609,0.1851,0.056,train_reconstruction
Benz[a]anthracene,0.0724,0.0839,0.1932,train_reconstruction
Phenytoin,2.0638,2.331,-0.2957,train_reconstruction
"""2,6-dimethylphenol""",1.3406,1.6832,-0.097,train_reconstruction
Progesterone,0.688,0.7568,-0.2585,train_reconstruction
"""2,6-diethylaniline""",1.3592,1.5216,-0.2612,train_reconstruction
Dibutylphthalate,0.2961,0.3365,-0.0267,train_reconstruction
Caffeine,1.32,3.1246,-0.0141,train_reconstruction
Pyrimethamine,1.4986,1.6417,-0.3707,train_reconstruction
Fluridone ,1.2569,1.3627,-0.3763,train_reconstruction
Sulfasalazine,13.0562,13.9309,-0.5828,train_reconstruction
4-aminoazobenzene,1.008,1.0945,-0.3429,train_reconstruction
Dieldrin,3.5458,3.5918,-1.9783,train_reconstruction
"""2,6-dinitrotoluene""",1.4775,1.8858,-0.1133,train_reconstruction
Androstenedione,1.1974,1.4206,-0.1154,train_reconstruction
3-hydroxyfluorene,1.1278,1.2301,-0.3106,train_reconstruction
Didecyl dimethyl ammonium chloride,99.1212,100.0264,-26.3759,train_reconstruction
Endrin,3.5582,3.6044,-1.9611,train_reconstruction
"""p,p'-ddd""",0.8473,0.8606,0.0812,train_reconstruction
Phosmet,1.4092,1.545,-0.3498,train_reconstruction
Lovastatin,0.5237,0.5851,-0.495,train_reconstruction
Phenolphthalein,1.205,1.3689,-0.1839,train_reconstruction
Bisphenol b,0.7133,0.791,-0.1645,train_reconstruction
"""o,p'-ddt""",0.1634,0.2765,0.87,train_reconstruction
Simvastatin,0.5108,0.5853,-0.3741,train_reconstruction
4-(2-methylbutan-2-yl)phenol,1.4056,1.5455,-0.2261,train_reconstruction
Clodinafop-propargyl,0.6055,0.6834,-0.0765,train_reconstruction
"""4,4'-methylene bis(2-methylaniline)""",1.571,1.8894,-0.1836,train_reconstruction
Norethindrone,51.4645,53.4588,-9.2278,train_reconstruction
N-nitrosodiphenylamine,1.2339,1.3301,-0.4249,train_reconstruction
Fluconazole ,1.2472,2.8303,-0.0111,train_reconstruction
"""2,6-dimethylaniline""",1.2686,1.9889,-0.0217,train_reconstruction
Pentachlorophenol,0.1569,0.18,-0.0157,train_reconstruction
"""2,4,6-trichlorophenol""",0.7958,0.8726,-0.2603,train_reconstruction
Dinoseb,38.6347,39.0407,-18.2028,train_reconstruction
2-anisidine,35.6623,62.7954,-0.0168,train_reconstruction
Quinoline,1.3335,1.8759,-0.0475,train_reconstruction
Ethoxyquin,1.2913,1.3925,-0.419,train_reconstruction
2-naphthylamine,1.6113,1.863,-0.2547,train_reconstruction
Coumarin,67.1667,94.5036,-0.018,train_reconstruction
Benzidine,1.9855,2.5491,-0.2118,train_reconstruction
Propylparaben,1.055,1.2255,-0.1088,train_reconstruction
