CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
512-56-1,Trimethyl phosphate,3.43,0.328,1.863,6.007,2.305678,2.312555,2.359197,,,,
500-38-9,Nordihydroguaiaretic acid,270.0,23.671,44.867,81.879,5.996973,8.551341,13.611447,,,,
2467-02-9,"2,2'-bisphenol f",83.5,23.752,31.499,41.791,1.723871,1.72673,1.730516,,,,
5153-25-3,2-ethylhexylparaben,128.0,20.553,29.65,40.307,1.620472,1.6299,1.645684,,,,
105512-06-9,Clodinafop-propargyl,1010.0,22.259,41.74,81.776,24.481335,24.649716,24.950711,,,,
131-56-6,"2,4-dihydroxybenzophenone",39.3,34.118,69.164,186.55,0.556046,0.559944,0.566306,,,,
58-18-4,17-methyltestosterone,12.7,13.803,19.627,28.395,0.387412,0.389016,0.391208,,,,
94-18-8,Benzylparaben,633.0,39.279,83.755,222.295,6.330826,6.391567,6.501927,,,,
23513-14-6,(6)-gingerol,146.0,11.317,17.132,25.797,11.061834,11.075248,11.095765,,,,
15619-48-4,1-benzylquinolinium chloride,7.31,3.581,6.431,10.032,10.894107,10.902968,10.922608,,,,
2687-96-9,1-dodecyl-2-pyrrolidinone,19.1,20.036,29.564,39.984,0.248922,0.25043,0.253181,,,,
83-41-0,"1,2-dimethyl-3-nitrobenzene",523.0,34.084,134.678,776.469,0.098042,0.145317,0.314123,,,,
57-91-0,17alpha-estradiol,55.6,31.348,61.536,131.589,0.615363,0.894979,1.400772,,,,
10161-33-8,17beta-trenbolone,37.4,8.469,15.016,23.149,3.652741,3.660191,3.676584,,,,
2467-03-0,2-(4-hydroxybenzyl)phenol,56.8,25.753,35.371,63.59,1.409458,1.413075,1.416119,,,,
5809-23-4,2-[4-(diethylamino)-2-hydroxybenzoyl]benzoic acid,2.0,21.111,36.235,62.748,0.009636,0.009821,0.010134,,,,
97-56-3,2-amino-5-azotoluene,6.89,24.553,33.01,47.39,0.054847,0.055463,0.056164,,,,
117-79-3,2-aminoanthraquinone,30.8,25.818,39.43,73.785,0.612294,0.614358,0.616695,,,,
587-65-5,2-chloro-n-phenylacetamide,38.9,8.128,18.743,39.475,7.987516,7.988809,8.00093,,,,
4940-11-8,2-ethyl-3-hydroxy-4h-pyran-4-one,81.0,3.411,7.972,16.659,27.832881,27.855356,27.922615,,,,
131-57-7,2-hydroxy-4-methoxybenzophenone,15.7,24.342,33.085,48.292,0.26696,0.269249,0.27186,,,,
149-30-4,2-mercaptobenzothiazole,37.3,25.797,52.09,170.846,0.710015,0.713858,0.719493,,,,
2785-87-7,2-methoxy-4-propylphenol,24.6,23.093,31.689,49.087,1.292268,1.294051,1.295923,,,,
90-05-1,2-methoxyphenol,44.9,8.24,18.77,35.145,10.867153,10.867153,10.876526,,,,
96-70-8,2-tert-butyl-4-ethylphenol,102.0,21.122,32.359,47.157,2.287,2.291253,2.298463,,,,
2409-55-4,2-tert-butyl-4-methylphenol,20.9,20.469,29.252,43.734,0.278233,0.279237,0.280539,,,,
88-60-8,2-tert-butyl-5-methylphenol,36.0,20.208,28.719,42.512,0.723888,0.726575,0.730063,,,,
88-18-6,2-tert-butylphenol,59.7,17.504,26.464,44.092,0.009071,0.012895,0.017791,,,,
119-47-1,"2,2'-methylenebis(4-methyl-6-tert-butylphenol)",22.4,17.678,34.441,77.858,0.073091,0.121823,0.20469,,,,
