CAS,Compound,log10_lit,log10_pred,fold_error,in_pilot,SHAP_log10_MW,SHAP_logP,SHAP_logP^2,SHAP_log10_Fup,SHAP_sqrt_Fup,SHAP_MW*logP,SHAP_MW*Fup,SHAP_logP*Fup,SHAP_MW,MW,logP,Fup,Clint
1843-05-6,2-hydroxy-4-(octyloxy)benzophenone,2.9068740728809463,1.8477472074515624,11.458476157863489,True,0.004010419624057096,-0.09512752545047626,-0.027988052104687893,0.028295000032891128,0.002639685325074085,0.1550248809935766,0.45772781377795146,0.012152447704725029,0.04192027366705515,326.4,6.395,1e-06,807.0
1861-32-1,Chlorthal-dimethyl,1.5868235146235763,1.5072482001415244,1.2010893454715608,True,-0.0034848218033521933,0.0693341907321699,0.044472816606988846,0.002629619127513294,-0.0018643582730623331,-0.03804724165401902,0.18260965647645988,-0.016280693728067612,-0.0012132312245012966,332.0,4.278,0.01666,38.62
1929-77-7,Vernolate,1.3996910237053748,1.588768909205071,1.5455315872153168,True,0.053162511089929906,0.08782289684237515,0.05624205348146518,-0.002991877679779649,-0.00029144134704063725,-0.041055754696093884,0.18569381439129157,-0.021033898841114645,0.002128342082643565,203.3,3.839,0.01906,25.1
205-99-2,Benzo[b]fluoranthene,0.7454651686707271,1.1428596391145132,2.4968616010796643,True,-0.0031958685428574263,-0.13191139846625746,-0.10110211962188546,0.004963771189001749,0.004188090175910518,-0.04276613924167338,0.16249917664789537,-0.019477484541489096,0.0005693476344731604,252.3,5.779,0.01059,5.564
206-44-0,Fluoranthene,0.9066043717249803,1.238072178214243,2.145200089890271,True,0.053312556343432356,-0.11159051896513125,-0.0749650053239764,0.004963771189001749,0.004704705889713928,-0.05786818128142605,0.16400838796247225,-0.014862694425516004,0.001276892944277898,202.3,5.16,0.01409,8.064
2104-64-5,O-ethyl o-(p-nitrophenyl) phenylphosphonothioate,0.9117433778559316,1.4053129500590662,3.115799994435788,True,-0.002694509049116763,-0.04815366601292292,-0.030205531142380924,0.0036236179246884764,-0.0009062032163559525,0.0456702319587392,0.17481904238129048,-0.016280693728067612,0.01034839706179689,323.3,4.776,0.01016,8.16
24602-86-6,Tridemorph,1.1109598811248782,1.5346504493125117,2.6527148475270717,True,-0.0023101333744361833,-0.062265398478372515,-0.05325191245472841,0.028295000032891128,-0.00386187084684703,0.2054468425085028,0.1658510089054327,-0.029374959296072034,0.01702960843474639,297.5,5.595,0.002679,12.91
2634-33-5,"""1,2-benzisothiazolin-3-one""",1.5408423152115802,1.6530539688282861,1.2948267221096519,True,0.14322505515707837,-0.032926020249944364,-0.0333483752617758,0.026305980499697977,0.0027878503532896247,0.017083901159847502,0.17106240694032118,-0.01861156344029857,0.10838246978867577,151.2,0.8033,0.005,34.74
2921-88-2,Chlorpyrifos,0.41514035219587275,1.5203238895032491,12.740413902344844,True,-0.017773875904486855,-0.08361693618463134,-0.05311575445328548,0.06322055829526531,0.001214888668286755,0.18546254197940681,0.1600279514242775,-0.004696481559642317,0.0005087333566639928,350.6,4.959,0.007932,2.6
298-46-4,Carbamazepine,0.37584643630915593,0.8212480410823938,2.788698767736063,True,-0.00968628731071891,-0.005622296225065496,0.011408754627493748,-0.02015724072460109,-0.009450075682882527,-0.03831604859626066,-0.32219685692948513,-0.052841378759169666,-0.000982793198310693,236.3,2.449,0.5141,2.375
30516-87-1,Azidothymidine,0.38291713508753095,0.4725356253536604,1.2291885051521236,True,0.02743074160326776,-0.25031831039246827,-0.22882430033243123,-0.05312056949168546,-0.006274959677047735,0.0019643137760233216,-0.25315703446385684,-0.0567035198692707,0.022447000319735726,267.2,0.04963,0.914,2.414
3147-75-9,Octrizole,0.7687120803776636,1.509809602279319,5.509313955259298,True,-0.0034848218033521933,0.0786394408375128,0.044472816606988846,0.002629619127513294,-0.0011767251345701627,-0.04055043608079509,0.17212918404363242,-0.010728507974504522,-0.0012132312245012966,323.4,4.018,0.0223,5.87
35256-85-0,Butam,0.9933039379194745,1.022814478261434,1.0703123591137982,True,-0.0123552729177216,0.030883253011571833,0.06350125995248175,-0.022523879001129097,-0.009450075682882527,-0.03349677042089898,-0.29762048743578745,0.03676538827214049,-0.0019812013977362364,233.4,3.001,0.2267,9.846
446-72-0,Genistein,1.2716325374871227,1.478834236603441,1.6113938400603232,True,-0.002315503904379226,0.021178075978784006,0.058526844871736955,-0.002991877679779649,-0.0011767251345701627,-0.03014718042484412,0.18051192694236368,-0.02160979045708691,0.007766202529821394,270.2,2.962,0.02426,18.69
484-17-3,9-phenanthrol,1.3218261837685032,1.639916171211647,2.080127652693318,True,0.05219947182526212,0.09072030634089617,0.05624205348146518,0.027024660312897103,-0.0006069323330836656,-0.04273301073958657,0.18168109810363536,-0.015991887979811825,0.022288148318578966,194.2,3.911,0.005435,20.98
