DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID5020607,117-81-7,Diethylhexyl phthalate (dehp),390.6,7.525,0.04558,1.0,,0.0,35.3195,8.7529,0.0,1.491899,1.467839,0.0,13.98566,13.760112,,,,,no_data,no_data,no_data
DTXSID2021995,134-62-3,Diethyltoluamide,191.3,2.184,0.3559,1.0,,3.797,45.0782,5.2589,1.49036,1.499183,1.493027,6.842539,6.88305,6.854786,,,,,no_data,no_data,no_data
DTXSID4032372,119446-68-3,Difenoconazole,406.3,4.297,0.0115,1.0,,30.6,0.3403,7.3515,1.463643,0.463873,1.35944,14.272274,4.523316,13.256176,,,,,no_data,no_data,no_data
DTXSID6024048,43222-48-6,Difenzoquat metilsulfate,360.4,0.5632,0.8513,1.0,,0.0,7.3359,24.3797,0.0,1.497903,1.499369,0.0,12.956265,12.968938,,,,,no_data,no_data,no_data
DTXSID4032376,87674-68-8,Dimethenamid,275.8,2.15,0.2318,1.0,,19.92,73.3586,6.4031,1.497166,1.499229,1.491218,9.910039,9.923699,9.870668,,,,,no_data,no_data,no_data
DTXSID7020479,60-51-5,Dimethoate,229.2,0.7805,0.9649,1.0,,3.682,166.6911,12.0086,1.496318,1.499918,1.498869,8.230948,8.250752,8.24498,,,,,no_data,no_data,no_data
DTXSID7034545,110488-70-5,Dimethomorph,387.9,2.68,0.09428,1.0,,20.3,29.6553,5.0473,1.49318,1.495325,1.472943,13.900911,13.920877,13.712509,,,,,no_data,no_data,no_data
DTXSID3022455,131-11-3,Dimethyl phthalate,194.2,1.584,0.656,1.0,,0.0,51.7541,5.6101,0.0,1.499614,1.496446,0.0,6.9894,6.974634,,,,,no_data,no_data,no_data
DTXSID2040363,83657-24-3,Diniconazole,326.2,4.297,0.01947,1.0,,0.0,0.2081,6.5819,0.0,0.47507,1.404216,0.0,3.719232,10.99333,,,,,no_data,no_data,no_data
DTXSID4021975,122-39-4,Diphenylamine,169.2,3.499,0.003875,1.0,,64.57,2.4752,0.0453,1.449365,0.78478,0.029529,5.885582,3.186834,0.119912,,,,,no_data,no_data,no_data
