"Compound","CAS","DTXSID","logP","MW","pKa_Accept","pKa_Donor","Human.Clint","Human.Clint.pValue","Human.Funbound.plasma","Human.Rblood2plasma","MW_num","logP_num","Fup_num","Rblood2plasma_num","Clint_native","Clint_rf","needs_clint_impute","Clint_used","Clint_source","n_tc_assays","AC50_5pct_uM","AC50_med_uM","AC50_source","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway"
"Cyromazine","66215-27-8","DTXSID6023999",0.8033,166.2,"8.36,1.65","14.9",0,0.4778,0.9352,NA,166.2,0.8033,0.9352,NA,0,4.04908058831898,TRUE,4.04908058831898,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"D-cis,trans-allethrin","584-79-2","DTXSID8035180",4.78,302.4," "," ",0,0.2037,0.2902,NA,302.4,4.78,0.2902,NA,0,3.78236513913867,TRUE,3.78236513913867,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dazomet","533-74-4","DTXSID7024902",0.6304,162.3,"4.06"," ",12.42,0.03019,0.8914,NA,162.3,0.6304,0.8914,NA,12.42,8.9005622766912,FALSE,12.42,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diazinon","333-41-5","DTXSID9020407",3.809,304.3,"4.18"," ",30.5,0,0.0388,NA,304.3,3.809,0.0388,NA,30.5,17.5206250743993,FALSE,30.5,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diazoxon","962-58-3","DTXSID5037523",2.072,288.3,"3.8"," ",34.62,0.005082,0.3269,NA,288.3,2.072,0.3269,NA,34.62,12.1164059293369,FALSE,34.62,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dicamba","1918-00-9","DTXSID4024018",2.212,221," ","2.54",0,0.1872,0.1802,NA,221,2.212,0.1802,NA,0,2.54833965336111,TRUE,2.54833965336111,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dichlobenil","1194-65-6","DTXSID5032365",2.741,172," "," ",0,0.1662,0.06222,NA,172,2.741,0.06222,NA,0,11.9535314127054,TRUE,11.9535314127054,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dichloran","99-30-9","DTXSID2020426",2.799,207," ","14.4",0,0.1506,0.005,NA,207,2.799,0.005,NA,0,15.6302784020607,TRUE,15.6302784020607,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dichlorprop","120-36-5","DTXSID0020440",2.827,235.1," ","2.95",0,0.08224,0.008529,NA,235.1,2.827,0.008529,NA,0,6.20938265901504,TRUE,6.20938265901504,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diclofop-methyl","51338-27-3","DTXSID0032605",4.709,341.2," "," ",0,0.4109,0.005,NA,341.2,4.709,0.005,NA,0,32.3620275983472,TRUE,32.3620275983472,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
