CAS,SMILES
141112-29-0,C[S](=O)(=O)c1cc(ccc1C(=O)c2cnoc2C3CC3)C(F)(F)F
77501-63-4,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O
58-89-9,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
330-55-2,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
120-47-8,CCOC(=O)c1ccc(O)cc1
94-74-6,Cc1cc(Cl)ccc1OCC(O)=O
208465-21-8,COC(=O)c1ccc(CN[S](C)(=O)=O)cc1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2
121-14-2,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
57837-19-1,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C
950-37-8,COC1=NN(CS[P](=S)(OC)OC)C(=O)S1
72-43-5,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
161050-58-4,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C
298-00-0,CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O
51218-45-2,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl
21087-64-9,CSC1=NN=C(C(=O)N1N)C(C)(C)C
74223-64-6,COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(C)nc(OC)n2
7786-34-7,COC(=O)\C=C(/C)O[P](=O)(OC)OC
13674-87-8,ClCC(CCl)O[P](=O)(OC(CCl)CCl)OC(CCl)CCl
2212-67-1,CCSC(=O)N1CCCCCC1
131-70-4,CCCCOC(=O)c1ccccc1C(O)=O
88671-89-0,CCCCC(Cn1cncn1)(C#N)c2ccc(Cl)cc2
15299-99-7,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12
50-65-7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O
27314-13-2,CNC1=C(Cl)C(=O)N(N=C1)c2cccc(c2)C(F)(F)F
19044-88-3,CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)[S](N)(=O)=O)[N+]([O-])=O
19666-30-9,CC(C)Oc1cc(N2N=C(OC2=O)C(C)(C)C)c(Cl)cc1Cl
23135-22-0,CNC(=O)O\N=C(SC)\C(=O)N(C)C
144651-06-9,Cc1cc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2C(=O)OC3COC3)n1
42874-03-3,CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O
6153-64-6,O.O.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O
76738-62-0,CC(C)(C)[C@@H](O)C(Cc1ccc(Cl)cc1)n2cncn2.CC(C)(C)[C@H](O)C(Cc3ccc(Cl)cc3)n4cncn4
56-38-2,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O
40487-42-1,CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O
219714-96-2,COc1cnc(OC)n2nc(N[S](=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12
52645-53-1,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2
122-99-6,OCCOc1ccccc1
2310-17-0,CCO[P](=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12
1918-02-1,Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl
51-03-6,CCCCOCCOCCOCc1cc2OCOc2cc1CCC
23103-98-2,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
29232-93-7,CCN(CC)c1nc(C)cc(O[P](=S)(OC)OC)n1
67747-09-5,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n2ccnc2
