CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
68694-11-1,Triflumizole,345.8,1.404,0.00839,19.6,19.6,httk_measured
126535-15-7,Triflusulfuron-methyl,492.4,3.557,0.3292,14.47,14.47,httk_measured
131983-72-7,Triticonazole,317.8,3.293,0.1373,6.118,6.118,httk_measured
50471-44-8,Vinclozolin,286.1,3.102,0.5936,18.34,18.34,httk_measured
101-54-2,"""n-phenyl-1,4-benzenediamine""",184.2,2.657,0.1434,15.59,15.59,httk_measured
101-61-1,"""4,4'-methylenebis(n,n-dimethylaniline)""",254.4,3.803,0.001109,18.85,18.85,httk_measured
101-86-0,2-benzylideneoctanal,216.3,4.339,0.009805,14.36,14.36,httk_measured
102-27-2,N-ethyl-3-methylaniline,135.2,2.42,0.1414,13.12,13.12,httk_measured
103-23-1,Di(2-ethylhexyl)adipate,370.6,6.851,0.03861,13.56,13.56,httk_measured
103-24-2,Azelaic acid di(2-ethylhexyl) ester,412.7,8.993,0.03126,3.152,3.152,httk_measured
103-90-2,Acetaminophen,151.2,0.4621,0.9398,0.3598,0.3598,httk_measured
104-67-6,5-heptyldihydro-2(3h)-furanone,184.3,3.445,0.069,9.47,9.47,httk_measured
105-99-7,Dibutyl hexanedioate,258.4,3.927,0.5872,14.03,14.03,httk_measured
10605-21-7,Methyl 1h-benzimidazol-2-ylcarbamate,191.2,1.519,0.4872,24.0,24.0,httk_measured
106-44-5,4-methylphenol,108.1,1.94,0.3259,39.66,39.66,httk_measured
106-65-0,Dimethyl succinate,146.1,0.3505,0.9999,364.4,364.4,httk_measured
107534-96-3,Tebuconazole,307.8,3.7,0.06601,5.278,5.278,httk_measured
108-46-3,Resorcinol,110.1,0.8006,0.7448,14.48,14.48,httk_measured
108-95-2,Phenol,94.11,1.462,0.6201,5.496,5.496,httk_measured
111-21-7,Triethylene glycol diacetate,234.2,0.5404,0.895,206.0,206.0,httk_measured
1119-40-0,Dimethyl glutarate,160.2,0.6217,0.6989,46.3,46.3,httk_measured
115-86-6,Triphenyl phosphate,326.3,4.589,0.002852,26.44,26.44,httk_measured
119-61-9,Benzophenone,182.2,3.181,0.06543,9.134,9.134,httk_measured
120-47-8,Ethylparaben,166.2,2.464,0.1057,57.24,57.24,httk_measured
120-71-8,P-cresidine,137.2,1.737,0.4043,19.53,19.53,httk_measured
121-00-6,2-tert-butyl-4-methoxy-phenol,180.2,3.202,0.07217,7.06,7.06,httk_measured
123122-55-4,Candoxatril,515.6,3.856,0.2659,9.898,9.898,httk_measured
124-94-7,Triamcinolone,394.4,1.16,0.7348,2.492,2.492,httk_measured
127308-82-1,Zamifenacin,415.5,5.742,0.002114,17.11,17.11,httk_measured
129-00-0,Pyrene,202.3,4.883,0.02415,6.18,6.18,httk_measured
13311-84-7,Flutamide,276.2,3.35,0.03758,30.38,30.38,httk_measured
13674-87-8,"""tris(1,3-dichloro-2-propyl) phosphate (tdcpp)""",430.9,3.65,0.01078,5.092,5.092,httk_measured
139290-65-6,Volinanserin,373.5,3.106,0.5097,5.464,5.464,httk_measured
140-66-9,"""4-(1,1,3,3-tetramethylbutyl)phenol""",206.3,4.867,0.01902,26.98,26.98,httk_measured
148-24-3,8-hydroxyquinoline,145.2,2.019,0.1184,69.68,69.68,httk_measured
150-68-5,Monuron,198.6,1.941,0.4551,3.086,3.086,httk_measured
15310-01-7,Benodanil,323.1,2.855,0.07513,21.4,21.4,httk_measured
1806-26-4,4-octylphenol,206.3,5.187,0.005,15.65,15.65,httk_measured
1843-05-6,2-hydroxy-4-(octyloxy)benzophenone,326.4,6.395,1e-06,807.0,807.0,httk_measured
1861-32-1,Chlorthal-dimethyl,332.0,4.278,0.01666,38.62,38.62,httk_measured
1929-77-7,Vernolate,203.3,3.839,0.01906,25.1,25.1,httk_measured
205-99-2,Benzo[b]fluoranthene,252.3,5.779,0.01059,5.564,5.564,httk_measured
206-44-0,Fluoranthene,202.3,5.16,0.01409,8.064,8.064,httk_measured
2104-64-5,O-ethyl o-(p-nitrophenyl) phenylphosphonothioate,323.3,4.776,0.01016,8.16,8.16,httk_measured
24602-86-6,Tridemorph,297.5,5.595,0.002679,12.91,12.91,httk_measured
2634-33-5,"""1,2-benzisothiazolin-3-one""",151.2,0.8033,0.005,34.74,34.74,httk_measured
2921-88-2,Chlorpyrifos,350.6,4.959,0.007932,2.6,2.6,httk_measured
298-46-4,Carbamazepine,236.3,2.449,0.5141,2.375,2.375,httk_measured
30516-87-1,Azidothymidine,267.2,0.04963,0.914,2.414,2.414,httk_measured
3147-75-9,Octrizole,323.4,4.018,0.0223,5.87,5.87,httk_measured
35256-85-0,Butam,233.4,3.001,0.2267,9.846,9.846,httk_measured
446-72-0,Genistein,270.2,2.962,0.02426,18.69,18.69,httk_measured
484-17-3,9-phenanthrol,194.2,3.911,0.005435,20.98,20.98,httk_measured
50-29-3,"""p,p'-ddt""",354.5,6.91,1e-06,12.5,12.5,httk_measured
50892-23-4,Pirinixic acid,323.8,2.067,0.005454,7.51,7.51,httk_measured
51-52-5,6-propyl-2-thiouracil,170.2,-0.3859,0.4736,1.323,1.323,httk_measured
527680-56-4,"""n-[(3r)-1-azabicyclo[2.2.2]oct-3-yl]-2,3-dihydro-1,4-benzodioxine-6-carboxamide""",288.3,1.835,1.0,3.688,3.688,httk_measured
528-29-0,"""1,2-dinitrobenzene""",168.1,1.69,0.06949,24.2,24.2,httk_measured
52-86-8,Haloperidol,375.9,4.288,0.1784,5.062,5.062,httk_measured
53-03-2,Prednisone,358.4,1.466,0.4818,9.09,9.09,httk_measured
548-62-9,Hexamethyl-p-rosaniline chloride,408.0,0.9598,0.01384,8.322,8.322,httk_measured
55285-14-8,Carbosulfan,380.6,4.829,0.005,26.74,26.74,httk_measured
563-12-2,Ethion,384.5,5.066,1e-06,10.41,10.41,httk_measured
56-53-1,Diethylstilbestrol (des),268.4,5.067,0.00935,39.5,39.5,httk_measured
56-55-3,Benz[a]anthracene,228.3,5.602,0.01121,18.27,18.27,httk_measured
57-41-0,Phenytoin,252.3,2.364,0.1624,0.8178,0.8178,httk_measured
576-26-1,"""2,6-dimethylphenol""",122.2,2.36,0.2086,20.52,20.52,httk_measured
